        Year       Xcm       Ycm       Zcm          date
   2018.0068   -0.1721    1.6229   -1.4776    2018010312
   2018.0260    0.0033    1.6839   -1.8991    2018011012
   2018.0452    0.3613    1.9623   -2.4520    2018011712
   2018.0643    0.8644    1.9794   -3.0121    2018012412
   2018.0835    1.0468    1.9663   -3.3688    2018013112
   2018.1027    1.1263    2.1366   -3.6602    2018020712
   2018.1218    1.2004    2.2337   -4.0612    2018021412
   2018.1410    1.0815    2.3054   -4.5822    2018022112
   2018.1602    0.8489    2.3582   -4.9357    2018022812
   2018.1793    0.8067    2.3744   -5.2471    2018030712
   2018.1985    0.7318    2.2733   -5.3509    2018031412
   2018.2177    0.7087    2.0674   -5.3028    2018032112
   2018.2368    0.7175    1.9412   -4.9999    2018032812
   2018.2560    0.7132    1.7587   -4.5525    2018040412
   2018.2752    0.7734    1.5972   -4.0634    2018041112
